site,year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
stonypoint,1974,4.8,5.3,5.7,6.0,6.2,7.1,7.6,5.7,5.4,7.7,6.9,7.5
stonypoint,1975,5.5,2.7,5.1,7.5,7.1,8.3,10.3,9.1,10.2,7.2,8.3,5.9
stonypoint,1976,5.8,6.5,6.7,7.1,6.4,10.3,,10.3,7.3,7.5,8.5,6.5
stonypoint,1977,6.3,6.4,5.8,7.5,7.4,7.6,11.2,7.1,5.2,8.0,5.0,4.8
stonypoint,1978,4.6,3.7,5.8,6.8,7.6,7.5,8.3,5.8,5.8,,8.0,6.2
stonypoint,1979,6.3,6.5,,,,,,,,,7.1,6.7
stonypoint,1980,5.9,4.7,4.8,5.4,6.7,8.7,,,,6.4,7.0,5.0
stonypoint,1981,4.8,5.3,4.8,5.0,6.8,5.1,,,,6.0,4.0,5.6
stonypoint,1982,,5.8,,,,,,,,,,
stonypoint,1983,,,,,,,,,2.5,5.0,4.1,
stonypoint,1984,3.5,4.0,4.7,,5.3,5.9,9.0,7.6,7.7,3.6,5.0,5.0
stonypoint,1985,8.2,4.7,3.3,7.5,6.8,8.6,11.5,5.1,5.6,5.7,5.3,
stonypoint,1986,5.6,6.1,,7.7,7.5,,,,,6.4,5.9,5.0
stonypoint,1987,5.1,4.3,4.6,4.5,4.9,4.4,4.7,3.6,4.3,3.8,,4.7
stonypoint,1988,4.9,3.9,3.8,5.9,7.7,7.5,4.5,5.5,7.5,6.6,6.1,5.8
stonypoint,1989,5.9,5.4,7.5,7.4,8.6,9.2,2.9,2.6,3.7,3.2,2.8,3.4
stonypoint,1990,2.6,2.9,2.5,4.4,4.9,5.2,3.9,4.2,4.0,3.1,2.5,2.5
stonypoint,1991,2.3,3.8,3.3,3.6,4.4,5.8,5.7,5.6,4.7,4.7,4.3,4.0
stonypoint,1992,3.9,3.2,4.1,4.7,5.4,6.6,4.9,4.1,4.1,,3.5,3.0
stonypoint,1993,3.6,3.6,4.9,7.1,8.2,7.6,7.2,6.2,6.1,5.6,5.7,5.2
stonypoint,1994,5.8,6.6,5.7,,7.5,7.0,8.2,8.7,6.4,3.8,3.8,4.8
stonypoint,1995,5.0,4.5,6.3,8.6,8.7,9.2,6.3,7.3,5.9,6.0,5.3,5.7
stonypoint,1996,4.2,4.1,2.5,4.1,7.5,7.9,7.9,6.8,7.5,7.2,6.5,6.0
stonypoint,1997,5.7,5.5,9.4,6.7,6.9,7.3,5.6,4.1,4.3,6.1,4.6,2.9
stonypoint,1998,2.3,3.8,3.6,4.1,9.4,10.7,11.2,9.3,,,8.8,
stonypoint,1999,7.5,,2.9,7.5,,9.9,9.4,9.0,7.7,,5.2,6.8
stonypoint,2000,5.2,6.7,4.9,4.9,8.4,6.8,,,6.9,8.2,7.8,6.9
stonypoint,2001,6.8,6.7,7.0,7.9,9.8,10.4,11.1,11.4,7.4,6.7,7.8,7.0
stonypoint,2002,6.9,7.5,6.4,8.4,9.0,9.5,10.2,9.2,7.7,,5.9,7.0
stonypoint,2003,6.3,6.3,7.2,6.8,9.1,9.0,10.3,,8.5,7.4,8.0,8.0
stonypoint,2004,6.8,7.9,9.3,9.8,9.6,8.8,9.4,5.4,6.2,,7.2,6.6
stonypoint,2005,6.8,8.0,,7.5,7.4,,8.4,,8.1,,6.8,5.7
stonypoint,2006,5.7,6.9,7.6,8.9,10.4,10.6,12.2,12.6,11.0,10.8,,7.9
stonypoint,2007,,7.4,8.4,8.7,9.1,9.7,8.1,,6.2,,6.8,
stonypoint,2008,,,5.4,7.4,3.6,8.9,8.5,8.9,6.0,6.0,6.8,
stonypoint,2009,6.0,7.3,8.3,9.9,,,,9.5,,9.7,9.8,9.5
stonypoint,2010,9.9,9.5,10.4,9.6,,10.6,10.4,10.6,8.9,8.9,,8.0
stonypoint,2011,7.0,7.2,7.6,7.9,10.0,8.3,9.8,10.1,9.6,7.4,7.4,7.2
stonypoint,2012,,,,7.8,9.2,10.6,11.1,11.4,,6.1,,4.6
stonypoint,2013,5.4,7.0,8.5,,10.0,9.0,8.3,12.7,7.5,9.8,,8.2
stonypoint,2014,8.4,,8.0,,10.7,13.3,12.5,11.6,11.3,8.0,,
stonypoint,2015,6.3,,9.6,11.7,8.9,,14.1,14.3,,9.9,,
stonypoint,2016,8.3,7.4,8.8,8.1,,,9.1,,,,6.1,7.5
stonypoint,2017,5.0,,7.1,8.1,,8.2,8.2,10.0,,5.5,,
stonypoint,2018,5.5,8.5,7.4,9.6,7.8,,,,,,7.4,7.6
stonypoint,2019,6.6,6.0,7.2,8.5,7.5,8.7,10.0,6.8,2.5,6.1,6.6,
stonypoint,2020,6.8,6.5,5.6,,5.6,7.8,,10.0,9.3,8.2,8.8,9.1
stonypoint,2021,7.8,5.3,7.3,9.3,6.3,6.7,7.0,8.5,5.9,7.8,5.9,5.1
stonypoint,2022,6.1,4.8,5.9,8.3,7.363,7,8.6,7.9,8,10.2,10.2,9.7
stonypoint,2023,6.7,7.3,10.5,7.2,7,7.7,10.6,9.7,10.3,7.2,7.3,5.6
stonypoint,2024,6,5.4,6.8,7.1,6.7,8,7.7,7.4,,,,
oysterville,1963,4.1,4.5,4.5,5.2,5.8,6.3,,3.2,4.7,3.6,4.8,3.9
oysterville,1964,2.8,4.4,3.8,7.4,8.6,8.5,9.6,,,,8.6,
oysterville,1965,6.0,6.2,8.0,5.8,9.0,6.5,11.7,10.5,,9.2,11.0,6.9
oysterville,1966,7.2,5.7,7.7,9.1,10.1,12.8,11.4,9.2,7.7,9.9,8.4,7.9
oysterville,1967,7.9,8.1,9.9,11.5,9.1,8.8,13.8,,,12.6,8.5,8.6
oysterville,1968,7.7,8.9,8.6,9.8,9.2,8.8,12.5,9.2,8.5,9.7,9.0,7.8
oysterville,1969,7.9,7.5,8.0,8.4,12.5,8.5,6.0,10.0,8.1,8.7,8.0,6.5
oysterville,1970,6.4,7.3,8.0,9.1,11.4,10.0,10.6,14.1,11.6,11.4,10.3,9.9
oysterville,1971,9.3,5.7,7.5,10.3,7.0,7.9,9.6,5.4,5.8,5.6,4.6,1.3
oysterville,1972,4.4,6.2,6.6,6.4,7.6,6.8,,8.7,7.2,6.4,7.7,8.3
